Li2O,TiO2,ZrO2,SrO,Na2O,ZnO,Nb2O5,Nb2O3,Al2O3,Sb2O3,Y2O3,B2O3,BaO,La2O3,SiO2,K2O,CaO,PbO,RI
0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49
0.0,0.0,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,81.79,0.0,0.0,0.0,0.0,0.0,0.0,1.502
0.0,0.0,0.0,0.0,22.88,0.0,0.0,0.0,0.0,0.0,0.0,77.11,0.0,0.0,0.0,0.0,0.0,0.0,1.509
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.01,0.0,0.0,0.0,0.0,0.0,0.0,1.466
0.0,0.0,0.0,0.0,4.46,0.0,0.0,0.0,0.0,0.0,0.0,94.55,0.0,0.0,0.0,0.0,0.0,0.0,1.478
0.0,0.0,0.0,0.0,8.91,0.0,0.0,0.0,0.0,0.0,0.0,90.1,0.0,0.0,0.0,0.0,0.0,0.0,1.489
0.0,0.0,0.0,0.0,13.47,0.0,0.0,0.0,0.0,0.0,0.0,85.54,0.0,0.0,0.0,0.0,0.0,0.0,1.498
0.0,0.0,0.0,0.0,22.67,0.0,0.0,0.0,0.0,0.0,0.0,76.34,0.0,0.0,0.0,0.0,0.0,0.0,1.51
0.0,0.0,0.0,0.0,13.55,0.0,0.0,0.0,0.0,0.0,0.0,86.09999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.497
0.0,0.0,0.0,0.0,18.02,0.0,0.0,0.0,0.0,0.0,0.0,80.98999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.503
0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,10.0,0.0,1.517
0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,10.0,0.0,1.517
0.0,0.0,0.0,0.0,0.0,10.12,0.0,0.0,8.449999999999998,0.0,0.0,0.0,0.0,54.02,27.4,0.0,0.0,0.0,1.753
0.0,0.0,0.0,0.0,0.0,6.81,0.0,0.0,8.529999999999998,0.0,0.0,0.0,0.0,54.51,30.16,0.0,0.0,0.0,1.734
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.679999999999998,0.0,0.0,0.0,0.0,55.49,35.82,0.0,0.0,0.0,1.699
0.0,0.0,0.0,0.0,0.0,3.43,0.0,0.0,8.599999999999998,0.0,0.0,0.0,0.0,55.0,32.96,0.0,0.0,0.0,1.712
0.0,0.0,0.0,0.0,0.0,9.66,0.0,0.0,12.1,0.0,0.0,0.0,36.4,0.0,28.53,0.0,13.31,0.0,1.657
0.0,0.0,0.0,0.0,0.0,9.920000000000002,0.0,0.0,12.43,0.0,0.0,0.0,32.71,0.0,32.97,0.0,11.96,0.0,1.639
0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,12.78,0.0,0.0,0.0,28.82,0.0,37.65,0.0,10.54,0.0,1.62
0.0,0.0,0.0,0.0,0.0,10.49,0.0,0.0,13.14,0.0,0.0,0.0,24.71,0.0,42.61,0.0,9.04,0.0,1.603
0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,13.53,0.0,0.0,0.0,20.35,0.0,47.86,0.0,7.44,0.0,1.584
0.0,0.0,0.0,0.0,0.0,11.13,0.0,0.0,13.95,0.0,0.0,0.0,15.73,0.0,53.43,0.0,5.75,0.0,1.565
0.0,0.0,0.0,0.0,0.0,9.57,0.0,0.0,11.99,0.0,0.0,0.0,36.05,0.0,42.39,0.0,0.0,0.0,1.576
0.0,0.0,0.0,0.0,0.0,4.59,0.0,0.0,11.5,0.0,0.0,0.0,43.24,0.0,40.67,0.0,0.0,0.0,1.588
0.0,0.0,0.0,0.0,0.0,12.79,0.0,0.0,10.68,0.0,0.0,0.0,48.19,0.0,28.33,0.0,0.0,0.0,1.655
0.0,0.0,0.0,0.0,0.0,8.62,0.0,0.0,10.8,0.0,0.0,0.0,48.74,0.0,31.83,0.0,0.0,0.0,1.634
0.0,0.0,0.0,0.0,0.0,4.36,0.0,0.0,10.93,0.0,0.0,0.0,49.29,0.0,35.42,0.0,0.0,0.0,1.62
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.05,0.0,0.0,0.0,49.86,0.0,39.08,0.0,0.0,0.0,1.608
0.0,0.0,0.0,38.6,0.0,15.16,0.0,0.0,12.66,0.0,0.0,0.0,0.0,0.0,33.58,0.0,0.0,0.0,1.634
0.0,0.0,0.0,39.12,0.0,10.24,0.0,0.0,12.83,0.0,0.0,0.0,0.0,0.0,37.81,0.0,0.0,0.0,1.614
0.0,0.0,0.0,39.65,0.0,5.19,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,42.15,0.0,0.0,0.0,1.601
0.0,0.0,0.0,40.2,0.0,0.0,0.0,0.0,13.18,0.0,0.0,0.0,0.0,0.0,46.62,0.0,0.0,0.0,1.592
0.0,0.0,0.0,0.0,0.0,18.42,0.0,0.0,15.38,0.0,0.0,0.0,0.0,0.0,40.8,0.0,25.39,0.0,1.627
0.0,0.0,0.0,0.0,0.0,12.48,0.0,0.0,15.64,0.0,0.0,0.0,0.0,0.0,46.08,0.0,25.8,0.0,1.611
0.0,0.0,0.0,0.0,0.0,6.34,0.0,0.0,15.9,0.0,0.0,0.0,0.0,0.0,51.53,0.0,26.23,0.0,1.594
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.16,0.0,0.0,0.0,0.0,0.0,57.16,0.0,26.67,0.0,1.584
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.19,0.0,0.0,0.0,69.13,0.0,21.67,0.0,0.0,0.0,1.673
0.0,0.0,0.0,60.21,0.0,0.0,0.0,0.0,11.85,0.0,0.0,0.0,0.0,0.0,27.93,0.0,0.0,0.0,1.635
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.37,0.0,0.0,0.0,0.0,0.0,38.6,0.0,45.03,0.0,1.618
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.12,0.0,0.0,0.0,63.69,0.0,22.19,0.0,0.0,0.0,1.658
0.0,0.0,0.0,54.24,0.0,0.0,0.0,0.0,17.79,0.0,0.0,0.0,0.0,0.0,27.96,0.0,0.0,0.0,1.626
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.69,0.0,0.0,0.0,0.0,0.0,37.23,0.0,39.08,0.0,1.621
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,64.95,0.0,25.45,0.0,0.0,0.0,1.661
0.0,0.0,0.0,55.6,0.0,0.0,0.0,0.0,12.16,0.0,0.0,0.0,0.0,0.0,32.24,0.0,0.0,0.0,1.622
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.32,0.0,0.0,0.0,0.0,0.0,43.28,0.0,40.39,0.0,1.608
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.75,0.0,0.0,0.0,59.16,0.0,26.08,0.0,0.0,0.0,1.643
0.0,0.0,0.0,49.47,0.0,0.0,0.0,0.0,18.25,0.0,0.0,0.0,0.0,0.0,32.27,0.0,0.0,0.0,1.618
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.61,0.0,0.0,0.0,0.0,0.0,41.75,0.0,34.63,0.0,1.604
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.41,0.0,0.0,0.0,0.0,0.0,40.32,0.0,29.27,0.0,1.597
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.04,0.0,0.0,0.0,60.38,0.0,29.58,0.0,0.0,0.0,1.644
0.0,0.0,0.0,50.74,0.0,0.0,0.0,0.0,12.48,0.0,0.0,0.0,0.0,0.0,36.78,0.0,0.0,0.0,1.614
